Location    Name
----------  ------------------------
uksouth     alfredtestoffer
uksouth     ocp-worker
uksouth     oke-worker
uksouth     opp-worker
uksouth     osa
uksouth     rh-rhel-7-main-2
uksouth     rh-rhel-8-main-2
uksouth     RHEL
uksouth     rhel-byos
uksouth     rhel-cpp-test
uksouth     RHEL-HA
uksouth     rhel-raw
uksouth     RHEL-SAP
uksouth     RHEL-SAP-APPS
uksouth     RHEL-SAP-HA
uksouth     rhel-sig-publishing-test
uksouth     RHEL-TEST
uksouth     rh_rhel_7_latest
uksouth     rh_rhel_7_vm
uksouth     rh_rhel_8_latest
uksouth     rh_rhel_8_main_1
uksouth     rh_rhel_8_vm
uksouth     sp-test-oke-worker
uksouth     test_offer_china
