Location    Name
----------  ----------------------------
uksouth     cap-deploy-byos
uksouth     console-for-sap-applications
uksouth     manager-proxy-4-1-byos
uksouth     manager-proxy-4-2-byos
uksouth     manager-proxy-4-byos
uksouth     manager-server-4-1-byos
uksouth     manager-server-4-2-byos
uksouth     manager-server-4-byos
uksouth     openSUSE-Leap
uksouth     opensuse-leap-15-3
uksouth     sle-micro-5-1-byos
uksouth     SLES
uksouth     sles-12-sp5
uksouth     sles-12-sp5-basic
uksouth     sles-12-sp5-byos
uksouth     sles-12-sp5-hpc
uksouth     sles-12-sp5-hpc-byos
uksouth     sles-15-sp1
uksouth     sles-15-sp1-byos
uksouth     sles-15-sp1-chost-byos
uksouth     sles-15-sp1-hpc
uksouth     sles-15-sp1-hpc-byos
uksouth     sles-15-sp1-sapcal
uksouth     sles-15-sp2
uksouth     sles-15-sp2-basic
uksouth     sles-15-sp2-byos
uksouth     sles-15-sp2-chost-byos
uksouth     sles-15-sp2-hpc
uksouth     sles-15-sp2-hpc-byos
uksouth     sles-15-sp2-monitoring
uksouth     sles-15-sp3
uksouth     sles-15-sp3-basic
uksouth     sles-15-sp3-byos
uksouth     sles-15-sp3-chost-byos
uksouth     sles-15-sp3-hpc
uksouth     sles-15-sp3-hpc-byos
uksouth     sles-15-sp3-sapcal
uksouth     SLES-BYOS
uksouth     SLES-SAP
uksouth     sles-sap-12-sp5
uksouth     sles-sap-12-sp5-byos
uksouth     sles-sap-15-sp1
uksouth     sles-sap-15-sp1-byos
uksouth     sles-sap-15-sp2
uksouth     sles-sap-15-sp2-byos
uksouth     sles-sap-15-sp3
uksouth     sles-sap-15-sp3-byos
uksouth     SLES-SAP-BYOS
uksouth     SLES-SAPCAL
uksouth     SLES-Standard
